Source,Type,Target,Weight
1-й горожанин,Undirected,1-я горожанка,1
1-й горожанин,Undirected,1-я подруга,2
1-й горожанин,Undirected,1-я подруга. ,1
1-й горожанин,Undirected,2-й горожанин,6
1-й горожанин,Undirected,2-й лакей,1
1-й горожанин,Undirected,2-я горожанка,1
1-й горожанин,Undirected,2-я подруга,2
1-й горожанин,Undirected,2-я подруга..,1
1-й горожанин,Undirected,3-й лакей,1
1-й горожанин,Undirected,3-я подруга,2
1-й горожанин,Undirected,Бургомистр,3
1-й горожанин,Undirected,Все,4
1-й горожанин,Undirected,Генрих,3
1-й горожанин,Undirected,Генрих ,1
1-й горожанин,Undirected,Горожане,1
1-й горожанин,Undirected,Гости,1
1-й горожанин,Undirected,Лакей,1
1-й горожанин,Undirected,Ланцелот,2
1-й горожанин,Undirected,Мальчик,5
1-й горожанин,Undirected,Мальчик ,1
1-й горожанин,Undirected,Разносчик,2
1-й горожанин,Undirected,Садовник,5
1-й горожанин,Undirected,Шарлемань,2
1-й горожанин,Undirected,Эльза,3
1-й погонщик,Undirected,2-й погонщик,1
1-й погонщик,Undirected,3-й погонщик,1
1-й погонщик,Undirected,4-й погонщик,1
1-й погонщик,Undirected,5-й погонщик,1
1-й погонщик,Undirected,Генрих,1
1-й погонщик,Undirected,Дракон,1
1-й погонщик,Undirected,Кот,1
1-й погонщик,Undirected,Ланцелот,1
1-й погонщик,Undirected,Осел,1
1-я горожанка,Undirected,1-я подруга. ,1
1-я горожанка,Undirected,2-й горожанин,1
1-я горожанка,Undirected,2-я горожанка,1
1-я горожанка,Undirected,2-я подруга..,1
1-я горожанка,Undirected,3-я подруга,1
1-я горожанка,Undirected,Бургомистр,1
1-я горожанка,Undirected,Все,1
1-я горожанка,Undirected,Генрих ,1
1-я горожанка,Undirected,Мальчик ,1
1-я горожанка,Undirected,Разносчик,1
1-я горожанка,Undirected,Садовник,1
1-я горожанка,Undirected,Шарлемань,1
1-я подруга. ,Undirected,2-й горожанин,1
1-я подруга. ,Undirected,2-я горожанка,1
1-я подруга. ,Undirected,2-я подруга..,1
1-я подруга. ,Undirected,3-я подруга,1
1-я подруга. ,Undirected,Бургомистр,1
1-я подруга. ,Undirected,Все,1
1-я подруга. ,Undirected,Генрих ,1
1-я подруга. ,Undirected,Мальчик ,1
1-я подруга. ,Undirected,Разносчик,1
1-я подруга. ,Undirected,Садовник,1
1-я подруга. ,Undirected,Шарлемань,1
1-я подруга,Undirected,2-й горожанин,1
1-я подруга,Undirected,2-я подруга,3
1-я подруга,Undirected,3-я подруга,2
1-я подруга,Undirected,Гости,1
1-я подруга,Undirected,Ланцелот,2
1-я подруга,Undirected,Мальчик,2
1-я подруга,Undirected,Садовник,2
1-я подруга,Undirected,Эльза,3
2-й горожанин,Undirected,2-й лакей,1
2-й горожанин,Undirected,2-я горожанка,1
2-й горожанин,Undirected,2-я подруга,1
2-й горожанин,Undirected,2-я подруга..,1
2-й горожанин,Undirected,3-й лакей,1
2-й горожанин,Undirected,3-я подруга,2
2-й горожанин,Undirected,Бургомистр,3
2-й горожанин,Undirected,Все,4
2-й горожанин,Undirected,Генрих,2
2-й горожанин,Undirected,Генрих ,1
2-й горожанин,Undirected,Гости,1
2-й горожанин,Undirected,Лакей,1
2-й горожанин,Undirected,Ланцелот,1
2-й горожанин,Undirected,Мальчик,4
2-й горожанин,Undirected,Мальчик ,1
2-й горожанин,Undirected,Разносчик,2
2-й горожанин,Undirected,Садовник,4
2-й горожанин,Undirected,Шарлемань,2
2-й горожанин,Undirected,Эльза,2
2-й лакей,Undirected,3-й лакей,1
2-й лакей,Undirected,Бургомистр,1
2-й лакей,Undirected,Генрих,1
2-й лакей,Undirected,Лакей,1
2-й лакей,Undirected,Ланцелот,1
2-й лакей,Undirected,Садовник,1
2-й лакей,Undirected,Эльза,1
2-й погонщик,Undirected,3-й погонщик,1
2-й погонщик,Undirected,4-й погонщик,1
2-й погонщик,Undirected,5-й погонщик,1
2-й погонщик,Undirected,Генрих,1
2-й погонщик,Undirected,Дракон,1
2-й погонщик,Undirected,Кот,1
2-й погонщик,Undirected,Ланцелот,1
2-й погонщик,Undirected,Осел,1
2-я горожанка,Undirected,2-я подруга..,1
2-я горожанка,Undirected,3-я подруга,1
2-я горожанка,Undirected,Бургомистр,1
2-я горожанка,Undirected,Все,1
2-я горожанка,Undirected,Генрих ,1
2-я горожанка,Undirected,Мальчик ,1
2-я горожанка,Undirected,Разносчик,1
2-я горожанка,Undirected,Садовник,1
2-я горожанка,Undirected,Шарлемань,1
2-я подруга..,Undirected,3-я подруга,1
2-я подруга..,Undirected,Бургомистр,1
2-я подруга..,Undirected,Все,1
2-я подруга..,Undirected,Генрих ,1
2-я подруга..,Undirected,Мальчик ,1
2-я подруга..,Undirected,Разносчик,1
2-я подруга..,Undirected,Садовник,1
2-я подруга..,Undirected,Шарлемань,1
2-я подруга,Undirected,3-я подруга,2
2-я подруга,Undirected,Гости,1
2-я подруга,Undirected,Ланцелот,2
2-я подруга,Undirected,Мальчик,2
2-я подруга,Undirected,Садовник,2
2-я подруга,Undirected,Эльза,3
3-й лакей,Undirected,Бургомистр,1
3-й лакей,Undirected,Генрих,1
3-й лакей,Undirected,Лакей,1
3-й лакей,Undirected,Ланцелот,1
3-й лакей,Undirected,Садовник,1
3-й лакей,Undirected,Эльза,1
3-й погонщик,Undirected,4-й погонщик,1
3-й погонщик,Undirected,5-й погонщик,1
3-й погонщик,Undirected,Генрих,1
3-й погонщик,Undirected,Дракон,1
3-й погонщик,Undirected,Кот,1
3-й погонщик,Undirected,Ланцелот,1
3-й погонщик,Undirected,Осел,1
3-я подруга,Undirected,Бургомистр,1
3-я подруга,Undirected,Все,1
3-я подруга,Undirected,Генрих ,1
3-я подруга,Undirected,Гости,1
3-я подруга,Undirected,Ланцелот,1
3-я подруга,Undirected,Мальчик,1
3-я подруга,Undirected,Мальчик ,1
